feature,importance
duration_min,0.09353168265250356
time_since_upload_days,0.08534078845854354
title__mix 2025,0.05622880041894595
channel_video_count,0.04889281353886995
channel_subscribers,0.038580589593523826
channel_view_count,0.024364742338775516
title__moment,0.02309927684685242
title__reaction,0.018205066867457
upload_hour,0.017786158725011155
tags_count,0.015312484703230824
title__comedy,0.01152561078697835
title__to do,0.011088938642915342
desc_length,0.010941941325911742
title__official,0.008361570785624457
upload_dow,0.008159043704365404
title__music,0.0073466161432535326
title__my,0.0073212447870208645
upload_month,0.006215996472578343
title__do in,0.005749673407758863
title__travel vlog,0.005470094809767557
title__vlog,0.004844406882055018
title__gaming,0.00471894680162541
title__2025 best,0.004450500180413886
title__deep,0.004012043533621698
title__he,0.003862683910975649
title__foundation,0.0036302359496201125
title__the,0.003619435854173969
title__i,0.0033750813490905397
title__things to,0.003219925013795031
title__in,0.0031487863794123923
title__https,0.003079516879217808
title__of,0.0029515277575138327
title__fox news,0.002920746476347422
title__free,0.002861617550692469
title__vlog travel,0.0028579292729618263
title__technology,0.002809725138811643
title__shorts,0.0027277729539806556
title__to,0.0026324941649894192
title__video,0.002623243478672476
title__new,0.0025277680538075254
title__travel,0.0025063254954324344
title__funny,0.002493279082709903
title__and,0.0024538933312045286
title__art,0.002374865552022486
title__future,0.002313322849947434
title__tiger,0.002280825538399811
title__subscribe,0.0022471007429909237
title__disclaimer under,0.0022278225374559907
title__nan,0.0022221355514320893
title__nextadmit com,0.0021665078880683227
title__link https,0.0021608966651692407
title__newsupdate,0.0021426833470423487
title__for,0.0021140547097097855
title__com,0.0019968900172179778
title__a,0.0019656234980997404
title__beach,0.001963239486329195
title__del,0.0019412146096826075
title__3d,0.0018461725852050245
title__link,0.0018461051262881208
title__how,0.0018234887838821598
title__viralshorts,0.0017970554385740368
title__instagram,0.0017937101881354471
title__game,0.0017781740935320092
title__https nextadmit,0.0017672214750216416
title__youtube,0.0017182253364456386
title__www,0.0016884069759674342
title__that,0.0016816614687784536
title__light,0.0016693662997706196
title__2025,0.0016457537501506406
title__out of,0.001636496763862322
title__on,0.001615878261428895
title__tech,0.0016092290752152956
title__pc,0.0016057591954332102
title__freedom,0.001602955195192381
title__this,0.0015979727916851296
title__those,0.001594980573639049
title__even,0.0015801943929420153
title__trailer,0.001571564286072339
title__you,0.0015487509089025877
title__movie,0.001539428687856833
title__what to,0.0015290190374207516
title__london,0.0015267348385571227
upload_year,0.0015214153119223477
title__demo,0.0014878396692755847
title__freefire,0.0014754472045226416
title__s,0.001455827956725733
title__viral,0.0014402334020340007
title__travelvlog,0.0014364187817122445
title__me on,0.0014232923264369949
title__songs,0.0014130466655077943
title__who,0.0013997137315801434
title__is,0.0013977776865034927
title__beginner,0.0013781652870091384
title__investment,0.0013730699044785682
title__free fire,0.0013247833248110788
title__global,0.001323644927740118
title__https www,0.001320336662538716
title__kannada,0.0012756470190431744
title__college,0.0012738678906459404
title__hotel,0.0012718274215547296
title__mix,0.0012642925335940398
title__your,0.0012578046680677198
title__investing,0.0012464132171562726
title__nan nan,0.0012463132892502925
title__money,0.0012415569575813406
title__ready,0.001228801426279901
title__stockmarket,0.0012282653941046804
title__follow,0.001227394569394514
title__never,0.001217885534959612
title__out,0.0011930759121603462
title__copyright,0.0011927338459117116
title__head,0.001183060522143765
title__channel,0.0011770674135726925
title__telegram,0.0011608135517309128
title__latest,0.001155401259282466
title__me,0.0011543628819184564
title__live,0.0011484243872551144
title__viralnews,0.0011455174303551436
title__with,0.00112684871834049
title__official music,0.0011253977843993517
title__set,0.0011253746130709986
title__study,0.0011132650786270534
title__business,0.0010795687936649247
title__5,0.0010620102864445028
title__gta,0.001036321510835906
title__best,0.001034876794616568
title__sports,0.001005557318114411
title__available,0.0010032183466777858
title__how to,0.0009831428144721952
title__like,0.0009651142960709442
title__break,0.0009647668190609675
title__dji,0.0009484374999401704
title__gamer,0.0009440194433170161
title__prabhas,0.0009430421055123139
title__new video,0.000938575469543586
title__education,0.0009066450098103412
title__1,0.0009049777275323811
title__join,0.0008935177998119968
title__hacks,0.0008916714084720397
title__aur,0.0008890950577109532
title__trending,0.0008859130326878996
title__news live,0.0008843945871282034
title__all the,0.0008815613712602605
title__ankur,0.0008811489221739637
title__news,0.0008762367200335895
title__long,0.000876177554364712
title__stocks,0.0008753984782234561
title__spotify,0.0008726021136322798
title__day,0.0008553186237090059
title__their,0.0008508507011944949
title__fire,0.0008368411451100439
title__i ll,0.0008332005485228041
title__patreon,0.000825384246788742
title__si,0.0008226989886321757
title__diwali,0.0008186260019377632
title__gadgets,0.0008129350868131527
title__weather,0.0008094166700694179
title__by,0.0008093197931315401
title__stories,0.0008091831753061869
title__fox,0.0008067910893990761
title__buy,0.0008056893933398318
title__videos,0.0008055484304995717
title__store,0.0007986506142535204
title__http bit,0.0007944009199676099
title__open,0.0007937086665630117
title__stock,0.0007936910302987754
title__all,0.0007916836442876626
title__from,0.00078509307025459
title__current,0.0007795961525452375
title__at,0.0007748973811923563
title__us,0.0007745885455577333
title__01,0.0007727545385603696
title__rajasthani,0.0007698358323352594
title__trump,0.0007640733982742468
title__more,0.0007626711099455235
title__song,0.0007620193396248063
title__https bit,0.000761767149136597
title__discord https,0.00075859079656215
title__events,0.0007580988837025771
title__you for,0.0007479023063368642
title__of the,0.0007393572122880769
title__use,0.0007374386169895606
title__credits,0.0007333077366277289
title__here,0.0007278263840370502
title__give,0.0007174483435619711
title__download,0.000717051063054139
title__review,0.0007166559515262408
title__stock market,0.0007144772373566361
title__kantara,0.0007136909439871674
title__co,0.0007085647030701729
title__what,0.0007059775802106919
title__not,0.0007021558367903686
title__english,0.0006980937613156198
title__top,0.0006956178597241184
title__20s,0.0006932371470449615
title__become a,0.0006908910879335759
title__horror,0.0006887523909434467
title__bgmi,0.000687647045178777
title__guys,0.0006867740338345423
title__whatsapp,0.0006813657444588778
title__or,0.000678786741074417
title__t,0.0006757822075545614
title__that s,0.000673414956031229
title__under section,0.0006667010082816462
title__go,0.0006652889834273623
title__remix,0.0006613967572494533
title__man,0.0006603468577485134
title__instagram com,0.0006583876342234756
title__short,0.0006476517974669836
title__invest in,0.0006458169319943382
title__channel https,0.0006430230836170934
title__rich,0.0006422209097911594
title__favor,0.0006405796692564992
title__financial,0.0006305115017765554
title__facts,0.0006293847084435546
title__facebook,0.000627405594912361
title__background,0.0006242140989461421
title__watch,0.0006225427932656884
title__pro,0.0006205699247254858
title__as,0.0006193210821493131
title__life,0.0006165858184393221
title__m,0.0006153158824691557
title__pack,0.0006134635196724285
title__story,0.000611355668317065
title__do,0.0006043773732336617
title__editing,0.0006032824623303909
title__it s,0.0006003875057181479
title__instagram https,0.0005976643555889878
title__ca,0.0005951241331113282
title__electronic,0.0005932736491675063
title__pop,0.0005918718555887941
title__finally,0.0005848583236073066
title__commentary,0.000581505523413918
title__no,0.0005777812446440722
title__shorts trending,0.0005754094467507746
title__2,0.0005743019730314023
title__math,0.0005710620174299758
title__challenge,0.0005651482370143196
title__www instagram,0.0005622447841755836
title__up for,0.0005611793413190241
title__vs,0.0005611343232699494
title__total,0.0005607914984783589
title__ly,0.0005597361434015638
title__shorts nan,0.0005577125075632926
title__player,0.0005568253005745839
title__tutorial,0.0005516193976429927
title__plus,0.0005499671746859314
title__do not,0.0005443127523512143
title__keep,0.0005374391037398586
title__tips,0.0005339883048942139
title__most,0.0005322940142869245
title__india,0.0005298392213450429
title__get,0.0005242761056029247
title__3,0.0005236818011864142
title__too,0.0005222708436625284
title__follow me,0.0005180857631091694
title__dance,0.0005084156158546811
title__boy,0.0005059561692220858
title__be,0.0005049566806336367
title__socials,0.0005032095544075572
title__if you,0.0005028614448716887
title__manager,0.0005016519024919906
title__magic,0.0005016246788708349
title__you can,0.0005013946664639865
title__patreon com,0.0004999004335568086
title__music video,0.0004998460896728936
title__lesson,0.0004977709527962532
title__solo,0.0004964459031133595
title__ff,0.0004953809983711695
title__न,0.0004927608058754234
title__for watching,0.0004920892599908183
title__one,0.0004917166192094077
title__subscribe to,0.0004916133054788827
title__youtube com,0.0004908985599463734
title__thank you,0.0004902922391663578
title__explained,0.0004901176712300797
title__access,0.00048445328120184364
title__cards,0.0004834502979609916
title__start,0.0004819402673120049
title__fi,0.0004789937098481351
title__visit,0.0004784563499247665
title__down,0.00047732450893041913
title__invest,0.0004747920163353338
has_links_in_desc,0.00047456694191086934
title__thanks,0.0004745040662435387
title__share,0.0004735678325157709
title__now,0.00047308236637487607
title__love,0.0004725068561787079
title__it,0.00046722674845587844
title__de,0.0004665805458798409
title__our,0.00046530668298831935
title__2025 top,0.00046389017406952686
title__clips,0.0004619023843162571
title__page,0.0004617153194549906
title__sony,0.00045813088542716795
title__world,0.00045778690724922666
title__த,0.0004557330334652834
title__r,0.0004554452540033593
title__episode,0.00045542657882455956
title__must,0.00045233740726175495
title__video i,0.0004513227678242921
title__like share,0.0004511526477184398
title__rafi,0.00045101466706157976
title__way to,0.0004505423021946478
title__are,0.0004487474109568103
title__software,0.00044736407236590527
title__com channel,0.00044217077912027093
title__we,0.0004415040436519149
title__dream,0.00044144933917294733
title__make,0.0004407125709784832
title__http,0.0004404239282155496
title__if,0.00043785649673055906
title__special,0.00043717936345503066
title__smartphone,0.0004357098698283559
title__your first,0.0004345466949774857
title__in the,0.00043435060103040336
title__please,0.000433561090886186
title__food,0.000430407823055124
title__www youtube,0.0004285543103746449
title__2020,0.00042854221175723503
title__learn,0.0004285209720719377
title__4,0.0004278784766445087
title__amazon,0.0004267726744294131
title__trendingshorts,0.0004238658204331074
title__around,0.00042378404058473405
title__cool,0.0004234227901390074
title__china,0.0004223483853626971
title__movie trailer,0.00042230746310018225
title__coming,0.0004216931864736267
title__up,0.00042100187047245557
title__them,0.0004207598952402528
title__car,0.0004201075623134622
title__books,0.0004195813152197619
title__only,0.0004193269735554331
title__nba,0.0004189913417699833
title__amzn,0.0004174085596311416
title__great,0.0004159308499510705
title__of my,0.0004153553505733592
title__stream,0.0004141380170507942
title__is a,0.00041303354734434865
title__movies,0.0004126669427957332
title__just,0.000410050005274351
title__youtube channel,0.00040860689133950996
title__first,0.00040794961951392893
title__in favor,0.00040781321889415127
title__bit ly,0.0004064495148133502
title__bit,0.00040535662628031233
title__comedy funny,0.00040524433644071516
title__hour,0.0004017844449266868
title__bad,0.0003986620162083106
title__online,0.000394963441294537
title__1976,0.0003936036567121784
title__was,0.00039304572046351487
title__on youtube,0.00039282735150766455
title__ytshorts,0.00039282013045618464
title__korea,0.00039208997783596897
title__discord,0.0003917277480711249
title__cinematic,0.00038774337413125166
title__to invest,0.00038619386937822816
title__full,0.0003829084647207637
title__for free,0.00038193651985094044
title__play,0.00037225262971906617
title__italy,0.00037164800149080426
title__entertainment,0.00037072184235133036
title__apple,0.0003692022965224871
title__member,0.0003690787461850282
title__as a,0.00036742773209902586
title__check out,0.000366506365392386
title__gameplay,0.00036559075940115665
title__trip,0.00036376517492845963
title__credit,0.000363758986258115
title__to you,0.0003629556777457209
title__youtube https,0.00036262385511811587
title__two,0.00036216448033182114
title__language,0.00036099187948473744
title__shot,0.0003593681147476347
title__have,0.0003588966016138827
title__room,0.0003581357160446005
title__join my,0.0003574936238859841
title__website,0.0003558595186271825
title__this video,0.0003551237405108125
title__today,0.00035421789232867985
title__got,0.000353570832394608
title__over,0.00035355281607525157
title__way,0.0003533865697325189
title__roblox,0.0003523645732167821
title__cable,0.00035041305345193493
title__music mix,0.0003488684964515494
title__o,0.00034790862870710175
title__twitter,0.0003453818868979282
title__watching,0.0003450273524168685
title__do you,0.00034498692648593895
title__this is,0.00034348907919199366
title__favor of,0.0003422428064164304
title__team,0.00034144078543975906
title__थ,0.00034039756143597485
title__youtubeshorts,0.0003397789250905286
title__so,0.00033945244491902996
title__always,0.00033913243755621453
title__read,0.00033900433819525593
title__time,0.00033860139856838094
title__spotify https,0.00033799041913018746
title__twitch,0.00033794796731900453
title__com playlist,0.00033710203130478525
title__will,0.0003363980391205477
title__before,0.0003362452740321584
title__exclusive,0.0003361775521340461
title__hindi,0.00033612922621541435
title__another,0.0003357400375353309
title__onelink me,0.00033123255465739986
title__content,0.000330973691131584
title__section 107,0.00032962140237925496
title__tiktok,0.00032731658203115127
title__back,0.00032630694288887625
title__explore,0.0003255888660022849
title__i m,0.00032416293661621115
title__balance,0.000323991390550789
title__year,0.0003237861330028245
title__https instagram,0.00032318903938027366
title__minecraft,0.0003227183381544266
title__10,0.0003205841122418752
title__animation,0.0003202817627637065
title__an,0.0003202140596911047
title__finance,0.00032011118312984477
title__https amzn,0.00031946282757580445
title__baby,0.0003172943406230736
title__of this,0.00031700889789480535
title__master,0.00031655253394302093
title__see,0.0003163552788795101
title__nails,0.00031615155287723616
title__social,0.00031606632455575385
title__ig,0.0003148329005566982
title__materials,0.00031443380765894957
title__about,0.0003136107633876665
title__have a,0.0003130348940958201
title__creative,0.00031267184901020127
title__gg,0.00031259145629902675
title__moments,0.00031058788379701563
title__month,0.00030927690397205144
title__व,0.00030795616698273414
title__links,0.00030783092526802267
title__yadav,0.0003076727399385167
title__tiktok com,0.00030664425815233524
title__this channel,0.0003038551345546852
title__five,0.0003023565996369752
title__kids,0.00029948587433442235
title__summer,0.00029947934556129015
title__media,0.00029791130426685595
title__merch,0.00029722996200131247
title__series,0.0002972051110271021
title__look,0.00029245016360408485
title__u,0.00029166875399233604
title__games,0.00029162683934673276
title__school,0.00028912200837036446
title__s a,0.0002887313601466222
title__dubai,0.00028829287774530515
title__out the,0.0002877804776808053
title__thank,0.0002876785057690949
title__podcast,0.00028726165118862144
title__shortsfeed,0.00028682188730865107
title__6,0.00028603873845172676
title__107 of,0.00028597223293093664
title__things,0.000285863218563775
title__can,0.00028560738450315545
title__emotional,0.0002848741493529801
title__d,0.00028395860859492885
title__like us,0.0002836312624026467
title__contact,0.00028201383807054613
title__donald trump,0.0002819060954271074
title__course,0.0002817858484928175
title__https youtube,0.0002812583697374568
title__व ल,0.0002808867286620089
title__water,0.0002807906690864306
title__fun,0.00028074911792960505
title__help,0.00027964292093117683
title__athletics,0.0002776261898260581
title__building,0.0002772824264695557
title__100,0.00027689046608481946
title__updates,0.0002756075837661627
title__a new,0.0002749033221328911
title__shop,0.0002732764447650371
title__with your,0.00027135648272798063
title__for more,0.0002708720552549619
title__main,0.0002704279841239205
title__00,0.00027020117363381135
title__https go,0.0002700834995934092
title__gta 5,0.00026782755560789216
title__right,0.000267083244606642
title__facebook http,0.00026572269732763317
title__city,0.0002656869586384293
title__tv,0.0002635980174420661
title__but,0.00026227834290393025
title__book,0.00026224262835144763
title__for kids,0.0002619347975934492
title__youtu,0.0002616538569971058
title__uk,0.0002587085192254711
title__msnbc,0.00025668568098667334
title__trending shorts,0.00025623293397506516
title__spirit,0.0002528617110801128
title__where,0.0002526396019283967
title__has,0.0002526311482599
title__on the,0.0002524685463884824
title__using,0.0002516553777446792
title__work,0.00025163733382062666
title__facebook https,0.0002509067038283709
title__against,0.0002501380063393012
title__into,0.0002498474750704468
title__upcoming,0.0002469478441953592
title__portfolio,0.00024664683118976924
title__mind,0.00024632227183257413
title__makes,0.00024472920153405876
title__ल,0.00024358800410786727
title__playlist list,0.0002426471732828957
title__york,0.00024218720064668255
title__telugu,0.00024140897985115408
title__wealth,0.00024061494220535423
title__twitter com,0.0002401672301986316
title__start investing,0.0002399286378731473
title__youtu be,0.0002377524509967702
title__c,0.00023722976622957985
title__brazil,0.0002358974964373214
title__code,0.00023512733682871085
title__cable news,0.00023449588296719378
title__x,0.0002339617203561683
title__to make,0.00023352851871852133
title__these,0.00023171697127146433
title__viral shorts,0.00023162990303875409
title__to get,0.00023071787092299292
title__family,0.00022973511397647326
title__p,0.00022837932239151321
title__aesthetic,0.00022738243707979454
title__rap,0.0002268288888394429
title__the world,0.00022632322730304722
title__fund,0.0002259722613271806
title__io,0.00022567608263997167
title__like comment,0.00022541281854852324
title__ice,0.00022467762111318658
title__discord gg,0.00022433784331333026
title__tour,0.00022372064236599872
title__र म,0.00022317235360704918
title__य,0.0002228259268411906
title__relaxing,0.00022232814497289278
title__i use,0.0002223161902200908
title__morning,0.0002220925657529266
title__editor,0.0002219715185396863
title__support,0.00022189390054154286
title__ll,0.00022153263502137607
title__his,0.00022118260242515888
title__travel guide,0.0002210857205313326
title__investments,0.00021995585999694335
title__sure,0.00021950028547479338
title__under,0.00021871053562214735
title__tokyo,0.00021810787526975673
title__from the,0.0002177467908458132
title__edit,0.00021748183169562608
title__telegram https,0.00021688042396688482
title__small,0.00021645043381008736
title__click,0.00021611255200214519
title__part,0.00021595302959736504
title__0,0.00021548722024322193
title__20,0.000215237080727108
title__memes,0.0002149765907934828
title__nyc,0.00021451968149325545
title__account,0.000213180965084529
title__ghar,0.00021255740212665147
title__traveling,0.0002121103024534103
title__amazing,0.00021204122795220453
title__whatsapp com,0.00021143519980828298
title__ki,0.00021107501594277392
title__good,0.00021105225777076034
title__concept,0.00021093433360374846
title__win,0.00021060356880945891
title__dead,0.0002103403727196959
title__maths,0.0002102110644289973
title__itinerary,0.00021000092152884185
title__क,0.00020910892110665512
title__been,0.00020797992561019757
title__latest news,0.00020696923297063854
title__home,0.00020642932228571079
title__information,0.00020577171006950067
title__shortvideo,0.0002054144102374798
title__and the,0.00020486236351183523
title__wala,0.00020453870697452332
title__disclaimer,0.00020447974795651137
title__personal,0.00020424934953604723
title__gmail com,0.00020375864289089973
