feature,importance
time_since_upload_days,0.3526209483632885
channel_view_count,0.26151934676293276
channel_video_count,0.10154202889118283
duration_min,0.04448533186327064
channel_subscribers,0.03168378201030196
desc_length,0.02274988726793845
upload_hour,0.020210070333328885
tags_count,0.01450487002186414
upload_dow,0.009704503393218156
title__music,0.007265585209100505
upload_month,0.007239228458983014
title__funny,0.005848215146147872
title__official,0.00487512536846489
upload_year,0.004008258110653316
title__investing,0.003610052710373326
title__comedy,0.0031265131180901033
title__official music,0.003074643653809836
has_links_in_desc,0.0027164737658666237
title__technology,0.0026000696453300012
title__vlog,0.002325565156666828
title__travel,0.002047556436358115
title__trailer,0.001991210430998216
title__shorts,0.0019526922784773183
title__gaming,0.001542201959720059
title__news,0.0015160564497519304
title__video,0.0014813720738718714
title__song,0.001467409635388837
title__2025,0.0012888817538541258
title__travel vlog,0.0012741570884293194
title__sports,0.0011640688738533717
title__short,0.001147119957407166
title__new,0.0010234252758085259
title__future,0.0010148704710894589
title__tech,0.000981071787941979
title__viral,0.000923632197231181
title__music video,0.0008978815568618276
title__innovation,0.0008722379985438137
title__trending,0.0008592328633274911
title__invest,0.0008572738370758261
title__official trailer,0.0008042727054646328
title__best,0.0007473160646291981
title__gadgets,0.0007341036192123153
title__bihar,0.0006934913542444802
title__sport,0.0006868245814010257
title__world,0.0006499908852621621
title__movie,0.0006246026758857246
title__different,0.000595868108409806
title__easy,0.0005855065240587634
title__vs,0.0005778720472346646
title__robot,0.0005691175207916187
title__love,0.0005689184934872199
title__ytshorts,0.0005611179427812236
title__basics,0.0005593776462203518
title__game,0.0005401495429712122
title__ai,0.0005269362357644274
title__bro,0.000526316707684361
title__14,0.0005251768045154019
title__movie trailer,0.0005101767240281847
title__entertainment,0.0005056653180792065
title__hindi,0.00046774901799959866
title__level,0.000450637459372819
title__future technology,0.0004480065985089635
title__sai,0.00044746462172586633
title__magic,0.00044306944833068403
title__tutorial,0.00044254947540768667
title__learning,0.0004425345010161471
title__stocks,0.0004248498921806211
title__games,0.0004161609880852052
title__fun,0.0004012388797374433
title__singh,0.00039772353258998584
title__insane,0.00038762138806684065
title__trailer 2025,0.00038502417149813766
title__athletics,0.0003826216996549395
title__youtubeshorts,0.0003761459537330915
title__shorts comedy,0.00037594562218017525
title__ramsey,0.0003621602452012202
title__end,0.0003568898866481426
title__investment,0.00035275841190068484
title__travel day,0.00035145008613491745
title__india,0.00034514670539105135
title__comedy funny,0.0003449467915022812
title__day,0.0003410704579185719
title__family,0.00033826795035107735
title__diwali,0.00033526694570527806
title__way,0.0003352174583254101
title__setup,0.00033482579389863235
title__odia,0.00033468515916465063
title__better,0.00032286008741235487
title__perfect,0.00031917943001321633
title__beginners,0.0003162111934736723
title__technology shorts,0.0003161402441859538
title__songs,0.00031319172399676346
title__finance,0.0003092673888719203
title__4k,0.00030484031857143655
title__movies,0.000303988377626144
title__high,0.0003037669112467049
title__golden,0.0003019795520318954
title__japan,0.0002969130005652369
title__pop,0.0002931509684631283
title__china,0.0002905184348952957
title__teaser,0.00028705185097752307
title__beginner,0.0002851332367023575
title__kid,0.00028032983969777285
title__soda pop,0.000274322770567081
title__project,0.0002696698547177646
title__soda,0.00026950629471228407
title__telugu,0.0002672227515853121
title__buy,0.000267026025665214
title__tried,0.00026010532448306927
title__deol,0.00025567010387335696
title__roblox,0.0002542633902050948
title__education,0.0002482343001340263
title__look,0.00024505969963353383
title__did,0.0002443503277712981
title__bike,0.000242047364938302
title__things,0.00023986039470866806
title__learning tutorial,0.00023596977056129917
title__maths,0.0002301596744994297
title__twist,0.0002300849132504909
title__upcoming,0.00022900674195794639
title__singapore,0.00022481662962382294
title__bobby,0.00022126767410387987
title__stop,0.00020805551552719958
title__basic,0.00020708026937826023
title__000,0.00020525261157682456
title__funds,0.00020513282739968535
title__gold,0.000203470718168042
title__exam,0.0002015556538172489
title__big,0.0001997871188765866
title__finance investing,0.00019761527208762435
title__learn,0.00019739599502544418
title__ki,0.00019723071430536652
title__indian,0.00019508691138569174
title__bobby deol,0.00019492836458674044
title__2026,0.0001938933332187084
