feature,importance
title__head,0.019699913
title__mix 2025,0.01819635
title__information,0.01754682
title__to do,0.013584681
title__current,0.012832189
title__news live,0.012629149
title__cable,0.010997734
title__deep,0.010259003
title__ca,0.010248812
title__and business,0.0101276105
title__dji,0.009816596
title__become a,0.0084799705
title__patreon,0.007911911
title__software,0.007851214
title__cartoon,0.007715506
title__balance,0.007142797
title__out the,0.007056497
title__moment,0.0066053155
title__past,0.006433595
title__lyrics,0.0063453014
title__go,0.00613848
title__leave,0.0058787884
title__free fire,0.0058372016
title__vlog travel,0.0054537267
title__let s,0.005195577
title__new video,0.0051942687
title__beach,0.0051121577
title__to a,0.0050912127
title__things,0.005081098
title__adventure,0.0050591948
title__discord,0.004994829
title__summer,0.0049534193
title__travel vlog,0.0049520023
title__a free,0.0049470197
title__official,0.0048434734
title__them,0.004784409
title__linkedin,0.004745326
title__reaction,0.0047420585
title__for free,0.0045850226
title__1976 allowance,0.004469159
title__charts,0.004297824
title__brainrot,0.004269641
title__twitch,0.004250231
title__viralnews,0.00422775
title__tiktok com,0.0039615217
title__news on,0.0038240217
title__to you,0.0038115063
title__college,0.0038111752
title__2025 best,0.0037800826
title__comedy,0.003650636
title__pc,0.0035886723
title__remix,0.0035243826
title__your first,0.003493712
title__music,0.0034376972
title__film,0.0034108972
title__stock market,0.003400342
title__glimpse,0.0033840674
title__their,0.0032894714
title__songs,0.0032573338
title__si,0.0031611128
title__fox news,0.003156231
title__https nextadmit,0.0031324576
title__to like,0.0030775687
title__telegram,0.0029757693
title__up for,0.0029409225
title__main,0.0028671185
title__foundation,0.0027502542
title__hour,0.002701624
title__credits,0.0026655653
title__started,0.0026402415
title__book,0.0026400385
title__my,0.0026064443
title__itinerary,0.002591941
title__vlog,0.0025807049
title__loss,0.0025590349
title__dead,0.0025431477
title__producer,0.002528794
title__video i,0.002522587
title__lifestyle,0.0025091765
title__exclusive,0.0025055697
title__for kids,0.00246791
title__money,0.0024080472
title__business,0.002338544
title__to see,0.0023283472
title__start investing,0.0023268075
title__travel guide,0.0022986762
title__community,0.0022837392
title__https instagram,0.002265295
title__i m,0.0022030268
title__subscribe,0.0021999506
title__four,0.0021922975
title__town,0.0021844928
title__great,0.0021705758
title__57,0.0021674493
title__was,0.002144745
title__into a,0.0021267815
title__20s,0.002121354
title__tutorial,0.0021140983
title__discord https,0.0021123532
title__five,0.0020928646
title__viewers,0.0020828764
title__a use,0.0020792386
title__news,0.0020653985
title__invest in,0.0020325712
title__use,0.0020313684
title__msnbc,0.0020255428
title__freefire,0.0020214994
title__back,0.00201156
title__university,0.00201128
title__special,0.0020055214
title__spotify com,0.0019880424
title__at https,0.001971578
title__sharma,0.0019609444
title__market,0.0019489415
title__crash,0.0019471038
title__join,0.0019315628
title__movies 2025,0.0019256293
title__man,0.0019209415
title__fortnite,0.0019164066
title__living,0.0019157329
title__amzn,0.0018964858
title__del,0.001889234
title__york,0.0018825481
title__fire,0.0018790169
title__t miss,0.0018750955
title__check out,0.0018565521
title__never,0.0018501468
title__link https,0.0018261209
title__things to,0.0018222177
title__investment,0.0018138143
title__with you,0.0017976844
title__aur,0.0017636141
title__link,0.0017421889
title__education,0.0017393809
title__episode,0.0017177023
title__live,0.0017167447
title__way to,0.0017070343
title__ankur,0.0017000724
title__08,0.0016977037
title__credit,0.0016926319
title__always,0.0016904898
title__description,0.0016697352
title__london,0.0016654131
title__of the,0.0016451741
title__around,0.0016405374
title__investing,0.0016263436
title__haryanvi,0.0016252444
title__against,0.0016187534
title__which,0.0016072658
title__like us,0.001601495
title__audio,0.0015546702
title__please,0.0015524301
title__channel is,0.0015503381
title__popular,0.0015360962
upload_year,0.0015256003
title__latest,0.0015238086
title__year,0.0014955311
title__code,0.0014775277
title__ly,0.001472642
title__www facebook,0.0014663266
title__instagram com,0.0014640793
title__store,0.001453819
title__another,0.0014415886
title__one of,0.0014352518
title__www instagram,0.0014300601
title__artist,0.0014188153
title__right,0.0014173782
title__cards,0.0014025687
title__gadgets,0.0013949927
title__art,0.001393536
title__love,0.001374774
title__there,0.0013724974
title__he,0.0013722848
title__join our,0.00136723
title__hot,0.0013585155
title__34,0.0013582271
title__23,0.0013580781
title__to start,0.00135768
title__executive producer,0.0013553186
title__future,0.0013463248
title__online,0.0013402622
title__sure,0.0013344748
title__hacks,0.0013342509
title__indian,0.0013318305
title__beginner,0.0013280227
title__so,0.0013237386
title__thriller,0.0013074924
title__rajasthani,0.0013053911
title__nail,0.0013033168
title__tiktok,0.0012942852
title__top,0.0012757727
title__gta,0.0012728798
title__u,0.0012649418
title__newsupdate,0.0012632696
title__trailer 2025,0.0012521714
title__like share,0.0012360055
title__raja,0.0012299533
title__full movie,0.0012219438
title__artificial,0.0012199822
title__patreon com,0.0012161939
title__whatsapp,0.0012109164
title__socials,0.001209144
channel_video_count,0.0012090671
title__pro,0.0012036808
title__keys,0.001198905
title__release,0.0011897414
title__events,0.0011890078
title__old,0.0011855243
title__https youtu,0.0011805143
title__kannada,0.0011733588
title__download,0.0011707942
title__movie,0.0011706786
title__yadav,0.0011631311
title__box,0.0011578364
title__films,0.0011446585
title__ali,0.0011283668
title__way,0.001115163
channel_subscribers,0.0011073259
title__page,0.0010976293
title__financial,0.0010896721
title__today,0.0010843187
title__forget,0.0010728196
title__https amzn,0.001069005
title__even,0.0010598828
title__viralshorts,0.0010532993
title__cast,0.0010521084
title__jeremy,0.0010518013
title__commission,0.0010500804
title__watch the,0.0010432026
title__gaming,0.0010330039
title__i,0.0010318807
title__shorts trending,0.001031404
title__wonders,0.0010222455
title__lesson,0.0010185008
title__poppy,0.0010172552
title__free,0.0010144353
title__tiger,0.001010545
title__https store,0.001008057
title__using,0.0010069375
time_since_upload_days,0.0010045818
title__this is,0.0009967866
title__roblox,0.0009957252
title__cinematic,0.0009936903
title__speed,0.0009917399
title__funny videos,0.0009797597
title__amazing,0.00096591446
title__day,0.00096367206
title__https bit,0.000959584
title__00 introduction,0.0009542315
title__singh,0.0009440684
title__for its,0.0009392063
title__s,0.0009369822
title__viral video,0.00093657547
title__law,0.0009350962
title__00,0.00092917314
title__25,0.0009277175
title__that will,0.00092425523
title__marketing,0.00091501203
title__10,0.00091483386
title__buy,0.000910226
title__amazon,0.00090490654
title__looking,0.0009015433
title__epidemicsound com,0.0008994175
title__two,0.0008959416
title__4k,0.0008941031
title__manager,0.0008918583
title__ko,0.0008899678
title__instagram,0.00088898564
title__थ,0.000885349
channel_view_count,0.0008829956
title__too,0.00088091264
title__affiliate,0.00087536115
title__personal,0.00087440334
title__color,0.0008696258
title__study,0.00086703355
title__each,0.00086660276
title__have a,0.0008559785
title__section,0.00085465226
title__vijay,0.00085364515
title__max,0.00084678753
title__r,0.0008462168
title__31,0.00084518257
title__07,0.00084444135
title__culture,0.00084395614
title__movies,0.00084038166
title__for more,0.0008372097
title__visit,0.0008351602
title__c,0.00083307736
title__bit,0.0008291899
title__tech,0.00082698767
title__twitter com,0.00081939885
title__travelvlog,0.0008166592
title__asha,0.0008141862
title__emotional,0.00081352744
title__favorite,0.00081060425
title__a new,0.00080543594
title__get,0.00080505514
title__জ,0.00080384867
title__sa,0.0008005423
title__epic,0.0007966467
duration_min,0.0007938454
title__https go,0.0007920792
title__channel and,0.00079171784
title__how,0.00078909425
title__merch,0.00078301015
title__set,0.0007814875
title__do you,0.0007802288
title__me,0.00077880034
title__check,0.000778632
title__guys,0.00077745266
title__spotify,0.0007774475
title__for watching,0.00077387656
title__f,0.0007682944
title__smartphone,0.0007677899
title__and the,0.0007638985
title__www,0.00076325866
title__01,0.0007556158
title__then,0.0007536547
title__youtube shorts,0.0007530343
title__found,0.0007489383
title__channel for,0.00074632076
title__play,0.00074316206
title__english,0.0007407458
title__city,0.000739731
title__follow,0.0007364712
title__facebook http,0.00073545735
title__true,0.0007312999
title__viral shorts,0.0007292349
title__want to,0.0007269308
title__of these,0.00072115735
title__the video,0.0007184547
title__channel to,0.0007131245
title__trailer,0.0007100321
title__small,0.0007020192
title__read,0.00069938926
title__email,0.0006988092
title__podcast,0.000693871
title__you can,0.0006875006
title__the channel,0.00068473676
title__long,0.0006843688
title__stand up,0.00068169384
title__game,0.00067935593
title__movie trailer,0.00067384844
title__high,0.0006737474
title__mind,0.0006711609
title__travel,0.0006697234
title__theaters,0.0006666424
title__books,0.00066505163
title__nan,0.0006608685
title__academy,0.00065797765
title__gamer,0.0006562636
title__her,0.00065621414
title__journey,0.00065469154
title__make,0.0006533966
title__ke,0.0006530184
title__exploring,0.0006526694
title__start,0.00064362184
title__of this,0.0006381753
title__who,0.0006360039
title__youtube com,0.0006341718
title__ह,0.00062785763
title__technology,0.0006222735
title__all content,0.0006212187
title__to get,0.00062004896
title__we,0.00061977416
title__facts,0.0006187773
title__ट,0.00061756663
title__what to,0.0006164625
title__edited by,0.0006138652
title__shorts nan,0.00061313517
title__here,0.00061028637
title__just,0.00060998905
title__49,0.0006058406
title__raj,0.0006050715
title__football,0.0005897993
title__ग,0.00058955053
title__courses,0.00058898015
title__learn,0.00058552215
title__olympic,0.00058542035
title__creative,0.0005839612
title__know,0.0005822929
title__edition,0.00058219075
title__tips,0.000581293
title__ক,0.0005805705
title__blue,0.0005801815
title__master,0.0005799609
title__your favorite,0.0005796479
title__his,0.00057958433
title__breaking,0.0005780473
title__value,0.00057265215
title__more,0.0005713501
title__black,0.000570971
title__room,0.0005696756
title__brand,0.0005682777
title__3d,0.00056740426
title__good,0.0005653424
title__electronic,0.00056532334
title__explained,0.00055422226
title__shortsfeed,0.0005523706
title__time,0.00055016973
title__share,0.00054905086
title__those,0.0005441533
title__the world,0.0005434773
title__math,0.000541922
title__i use,0.0005417822
title__dream,0.00053796975
title__9,0.0005346856
title__that,0.00053368555
title__aaj tak,0.0005303701
title__computer,0.00052998844
title__short video,0.00052619644
title__you,0.00052525185
title__official music,0.00052384846
title__commentary,0.0005215623
title__details,0.00052107783
title__य क,0.00051973487
title__prabhas,0.0005192277
title__favor of,0.00051825965
title__tiktok https,0.00051698554
title__nan nan,0.0005159696
title__hope,0.00051142595
title__kantara,0.0005054898
title__stand,0.0005044608
title__animation,0.00050318596
title__maths,0.00049419736
has_links_in_desc,0.000494062
title__comedy new,0.0004902192
title__freedom,0.0004883052
title__https whatsapp,0.00048775508
title__television,0.0004874989
title__light,0.00048400045
title__ram,0.0004839509
tags_count,0.00048232178
title__into,0.00048125727
title__stockmarket,0.00047977356
title__2025,0.0004794036
title__memes,0.0004783402
title__service,0.00047739688
title__olympics,0.00047545944
title__trending,0.00047300005
title__ल क,0.0004715659
title__nails,0.00047048146
title__playing,0.00046958198
title__plus,0.00046921073
title__work,0.00046905383
title__sports,0.00046872607
title__food,0.00046464967
title__background,0.00046142045
title__full,0.00046125468
title__क प,0.00045946034
title__break,0.00045903766
title__wala,0.0004584634
title__at,0.00045777243
title__review,0.00045701468
title__let,0.00045428512
title__trendingshorts,0.00045239346
title__comedy funny,0.00045029397
title__vs,0.0004493486
title__japan,0.0004480258
title__bgmi,0.00044782093
title__with,0.00044767198
title__see,0.00044661487
title__after,0.00044636655
title__फ,0.00044452367
title__na,0.00044356723
title__it,0.00044327753
title__director,0.00044312957
title__of,0.00044309077
title__thank you,0.0004428763
title__ang,0.0004346758
title__many,0.0004335641
title__editor,0.00043197718
title__your,0.00043195588
title__global,0.0004311543
title__features,0.00043112764
title__creating,0.0004294204
title__this,0.0004269937
